Crop,Crop_Class,Crop_Utilization,Crop_Production,Price_Data,Area_Data
COTTON,PIMA,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
COTTON,UPLAND,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
CRANBERRIES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
CUCUMBERS,ALL CLASSES,FRESH MARKET,ALL PRODUCTION PRACTICES,Price,Survey
CUCUMBERS,ALL CLASSES,"PROCESSING, PICKLES",ALL PRODUCTION PRACTICES,Price,Survey
CUCUMBERS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
DATES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
EGGPLANT,ALL CLASSES,FRESH MARKET,ALL PRODUCTION PRACTICES,Price,Survey
ESCAROLE & ENDIVE,ALL CLASSES,FRESH MARKET,ALL PRODUCTION PRACTICES,Price,Survey
FIGS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
FLAXSEED,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
GARLIC,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Production,Survey
GRAPEFRUIT,ALL CLASSES,UTILIZED,ALL PRODUCTION PRACTICES,Price,Survey
GRAPEFRUIT,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Census
GRAPES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
HAY,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
HAZELNUTS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
HAZELNUTS,ALL CLASSES,"UTILIZED, IN SHELL",ALL PRODUCTION PRACTICES,Price,Survey
HOPS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
KIWIFRUIT,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
LEMONS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Census
LEMONS,ALL CLASSES,UTILIZED,ALL PRODUCTION PRACTICES,Price,Survey
LENTILS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
LETTUCE,HEAD,FRESH MARKET,ALL PRODUCTION PRACTICES,Price,Survey
LETTUCE,HEAD,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
LETTUCE,LEAF,FRESH MARKET,ALL PRODUCTION PRACTICES,Price,Survey
LETTUCE,LEAF,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
LETTUCE,ROMAINE,FRESH MARKET,ALL PRODUCTION PRACTICES,Price,Survey
LETTUCE,ROMAINE,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
LOGANBERRIES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
MELONS,CANTALOUP,FRESH MARKET,ALL PRODUCTION PRACTICES,Price,Survey
MELONS,CANTALOUP,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
MELONS,HONEYDEW,FRESH MARKET,ALL PRODUCTION PRACTICES,Price,Survey
MELONS,HONEYDEW,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
MELONS,WATERMELON,FRESH MARKET,ALL PRODUCTION PRACTICES,Price,Survey
MELONS,WATERMELON,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
MILLET,PROSO,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
MUSTARD,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
NECTARINES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Census
OATS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
OKRA,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
OLIVES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
ONIONS,DRY,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
ORANGES,ALL CLASSES,UTILIZED,ALL PRODUCTION PRACTICES,Price,Survey
ORANGES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Census
PEACHES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Census
PEANUTS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
PEARS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Census
PEAS,DRY EDIBLE,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
PEAS,GREEN,PROCESSING,ALL PRODUCTION PRACTICES,Price,Survey
PEAS,GREEN,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
PEAS,AUSTRIAN WINTER,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
PECANS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Census
PECANS,ALL CLASSES,"UTILIZED, IN SHELL",ALL PRODUCTION PRACTICES,Price,Survey
PEPPERS,BELL,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
PEPPERS,CHILE,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
PISTACHIOS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Census
PISTACHIOS,ALL CLASSES,"UTILIZED, IN SHELL",ALL PRODUCTION PRACTICES,Price,Survey
PLUMS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
POTATOES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
PRUNES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Census
PUMPKINS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
RADISHES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
RASPBERRIES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
RICE,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
RYE,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
SAFFLOWER,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
SORGHUM,ALL CLASSES,SILAGE,ALL PRODUCTION PRACTICES,Price,Survey
SORGHUM,ALL CLASSES,GRAIN,ALL PRODUCTION PRACTICES,Price,Survey
SOYBEANS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
SPINACH,ALL CLASSES,PROCESSING,ALL PRODUCTION PRACTICES,Price,Survey
SPINACH,ALL CLASSES,FRESH MARKET,ALL PRODUCTION PRACTICES,Price,Survey
SPINACH,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
SQUASH,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
STRAWBERRIES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Production,Survey
SUGARBEETS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
SUNFLOWER,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
SWEET CORN,ALL CLASSES,FRESH MARKET,ALL PRODUCTION PRACTICES,Price,Survey
SWEET CORN,ALL CLASSES,PROCESSING,ALL PRODUCTION PRACTICES,Price,Survey
SWEET CORN,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
SWEET POTATOES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
TANGELOS,ALL CLASSES,UTILIZED,ALL PRODUCTION PRACTICES,Price,Survey
TANGELOS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Census
TANGERINES,ALL CLASSES,UTILIZED,ALL PRODUCTION PRACTICES,Price,Survey
TANGERINES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Census
TOBACCO,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
TOMATOES,ALL CLASSES,ALL UTILIZATION PRACTICES,IN THE OPEN,Production,Survey
TOMATOES,ALL CLASSES,PROCESSING,IN THE OPEN,Production,Survey
TOMATOES,ALL CLASSES,FRESH MARKET,IN THE OPEN,Production,Survey
WALNUTS,ENGLISH,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Census
WALNUTS,ENGLISH,UTILIZED,ALL PRODUCTION PRACTICES,Price,Survey
WALNUTS,ENGLISH,"UTILIZED, IN SHELL",ALL PRODUCTION PRACTICES,Price,Survey
WHEAT,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
