Crop,Crop_Class,Crop_Utilization,Crop_Production,Production_Units,Conversion_to_kg,kcal_kg
SPINACH,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,CWT,45.3592,166
MELONS,CANTALOUP,FRESH MARKET,ALL PRODUCTION PRACTICES,CWT,45.3592,173
MELONS,CANTALOUP,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,CWT,45.3592,173
PUMPKINS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,CWT,45.3592,182
TOMATOES,ALL CLASSES,ALL UTILIZATION PRACTICES,IN THE OPEN,CWT,45.3592,187
TOMATOES,ALL CLASSES,FRESH MARKET,IN THE OPEN,CWT,45.3592,187
TOMATOES,ALL CLASSES,PROCESSING,IN THE OPEN,TONS,907.185,187
ARTICHOKES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,CWT,45.3592,188
CABBAGE,ALL CLASSES,FRESH MARKET,ALL PRODUCTION PRACTICES,CWT,45.3592,200
CABBAGE,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,CWT,45.3592,200
CABBAGE,ALL CLASSES,PROCESSING,ALL PRODUCTION PRACTICES,TONS,907.185,200
PEPPERS,BELL,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,CWT,45.3592,213
EGGPLANT,ALL CLASSES,FRESH MARKET,ALL PRODUCTION PRACTICES,CWT,45.3592,203
BROCCOLI,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,CWT,45.3592,207
MUSTARD,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,LB,0.45351,251
SQUASH,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,CWT,45.3592,210
BEANS,SNAP,FRESH MARKET,ALL PRODUCTION PRACTICES,CWT,45.3592,273
BEANS,SNAP,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,CWT,45.3592,273
BEANS,SNAP,PROCESSING,ALL PRODUCTION PRACTICES,TONS,907.185,273
OKRA,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,CWT,45.3592,284
BEETS,ALL CLASSES,PROCESSING,ALL PRODUCTION PRACTICES,TONS,907.185,288
PEPPERS,CHILE,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,CWT,45.3592,292
STRAWBERRIES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,CWT,45.3592,301
PEAS,GREEN,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,CWT,45.3592,308
PEAS,GREEN,PROCESSING,ALL PRODUCTION PRACTICES,TONS,907.185,308
SWEET CORN,ALL CLASSES,FRESH MARKET,ALL PRODUCTION PRACTICES,CWT,45.3592,310
SWEET CORN,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,CWT,45.3592,310
SWEET CORN,ALL CLASSES,PROCESSING,ALL PRODUCTION PRACTICES,TONS,907.185,310
ORANGES,ALL CLASSES,UTILIZED,ALL PRODUCTION PRACTICES,BOXES,,343
ONIONS,DRY,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,CWT,45.3592,360
CARROTS,ALL CLASSES,FRESH MARKET,ALL PRODUCTION PRACTICES,CWT,45.3592,365
CARROTS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,CWT,45.3592,365
CARROTS,ALL CLASSES,PROCESSING,ALL PRODUCTION PRACTICES,TONS,907.185,365
LEMONS,ALL CLASSES,UTILIZED,ALL PRODUCTION PRACTICES,BOXES,36.2874,290
PEACHES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,LB,0.45351,374
PEACHES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,TONS,907.185,374
BRUSSELS SPROUTS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,CWT,45.3592,387
TANGELOS,ALL CLASSES,UTILIZED,ALL PRODUCTION PRACTICES,BOXES,,392
TANGERINES,ALL CLASSES,UTILIZED,ALL PRODUCTION PRACTICES,BOXES,,392
NECTARINES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,TONS,907.185,400
BLACKBERRIES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,LB,0.45351,413
PLUMS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,TONS,907.185,432
APRICOTS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,TONS,907.185,446
CRANBERRIES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,BARRELS,45.3592,451
KIWIFRUIT,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,TONS,907.185,464
APPLES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,LB,0.45351,468
RASPBERRIES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,LB,0.45351,499
BOYSENBERRIES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,LB,0.45351,500
PEARS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,TONS,907.185,513
CHERRIES,SWEET,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,TONS,907.185,514
BLUEBERRIES,TAME,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,LB,0.45351,542
LOGANBERRIES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,LB,0.45351,550
GRAPES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,TONS,907.185,557
POTATOES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,CWT,45.3592,578
SWEET POTATOES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,CWT,45.3592,619
SUGARBEETS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,TONS,907.185,700
FIGS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,TONS,907.185,733
SOYBEANS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,BU,27.2155,4460
OLIVES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,TONS,907.185,985
LENTILS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,CWT,45.3592,3520
AVOCADOS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,TONS,907.185,1184
PEAS,AUSTRIAN WINTER,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,CWT,45.3592,1240
GARLIC,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,CWT,45.3592,1296
BEANS,"GREEN, LIMA",ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,CWT,45.3592,1624
PRUNES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,"TONS, DRY BASIS",907.185,2088
ALMONDS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,LB,0.45351,2316
DATES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,TONS,907.185,2543
HAZELNUTS,ALL CLASSES,"UTILIZED, IN SHELL",ALL PRODUCTION PRACTICES,TONS,907.185,2575
PEAS,DRY EDIBLE,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,CWT,45.3592,2620
SAFFLOWER,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,LB,0.45351,2637
WALNUTS,ENGLISH,UTILIZED,ALL PRODUCTION PRACTICES,TONS,907.185,2943
WALNUTS,ENGLISH,"UTILIZED, IN SHELL",ALL PRODUCTION PRACTICES,TONS,907.185,2943
PISTACHIOS,ALL CLASSES,"UTILIZED, IN SHELL",ALL PRODUCTION PRACTICES,LB,0.45351,2968
BEANS,"DRY EDIBLE, INCL CHICKPEAS",ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,CWT,45.3592,3506
SUNFLOWER,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,LB,0.45351,3154
SORGHUM,ALL CLASSES,GRAIN,ALL PRODUCTION PRACTICES,BU,25.4012,3290
WHEAT,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,BU,27.2155,3338
RYE,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,BU,25.4012,3380
BARLEY,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,BU,21.7724,3530
RICE,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,CWT,45.3592,3637
CORN,ALL CLASSES,GRAIN,ALL PRODUCTION PRACTICES,BU,25.4012,3650
PECANS,ALL CLASSES,"UTILIZED, IN SHELL",ALL PRODUCTION PRACTICES,LB,0.45351,3662
MILLET,PROSO,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,BU,22.226,3780
OATS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,BU,14.515,3890
FLAXSEED,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,BU,25.4012,5340
PEANUTS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,LB,0.45351,5670
ALMONDS,ALL CLASSES,"UTILIZED, SHELLED",ALL PRODUCTION PRACTICES,LB,0.45351,5790
CANOLA,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,LB,0.45351,6420
CORN,ALL CLASSES,SILAGE,ALL PRODUCTION PRACTICES,TONS,907.185,
COTTON,PIMA,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,480 LB BALES,217.6848,
COTTON,UPLAND,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,480 LB BALES,217.6848,
HAY,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,TONS,907.185,
HOPS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,LB,0.45351,
SORGHUM,ALL CLASSES,SILAGE,ALL PRODUCTION PRACTICES,TONS,907.185,
TOBACCO,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,LB,0.45351,
