Crop,Crop_Class,Crop_Utilization,Crop_Production,Price_Received_Units,Conversion_usd_per_kg
WALNUTS,ENGLISH,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / TON,0.001102311
PRUNES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,"$ / TON, DRY BASIS",0.001102311
LEMONS,ALL CLASSES,UTILIZED,ALL PRODUCTION PRACTICES,$/BOXES,0.027557775
ASPARAGUS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$/CWT,0.022046244
BROCCOLI,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$/CWT,0.022046244
CELERY,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$/CWT,0.022046244
GARLIC,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$/CWT,0.022046244
STRAWBERRIES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$/CWT,0.022046244
TOMATOES,ALL CLASSES,ALL UTILIZATION PRACTICES,IN THE OPEN,$/CWT,0.022046244
TOMATOES,ALL CLASSES,FRESH MARKET,IN THE OPEN,$/CWT,0.022046244
TOMATOES,ALL CLASSES,PROCESSING,IN THE OPEN,$/TONS,0.001102311
